kode,lat,lng,jml,polygons,colors
SMP22,-7.032798,112.63998799999999,5,"[[112.56765403,  -7.11686468], [112.62932819,  -7.12694638], [112.69614935,  -7.11893892], [112.75360301,  -7.08893916], [308.46777356, 132.33060125], [-56.85359146, 163.28937457]]","[179.94665529, 3.9668208, 38.30936706, 0.9]"
SMP23,-7.302680501108885,112.77761344468128,251,"[[112.76857934,  -7.29642053], [112.78237578,  -7.28712176], [112.79117764,  -7.295403  ], [112.78549551,  -7.31059398], [112.77074817,  -7.31122974]]","[246.967435655, 171.864231842, 141.945560292, 0.9]"
SMP24,-7.29826507157504,112.75043682900316,631,"[[112.7400561,  -7.2929904], [112.7451824 ,  -7.30938733], [112.75264516,  -7.30738104], [112.7603309,  -7.2945209], [112.7569771 ,  -7.29032312]]","[138.577249468, 173.4006603, 253.227881832, 0.9]"
SMP25,-7.338001860488012,112.7810467354386,171,"[[ 134.00542788, -247.19105052], [ 199.15964259, -231.56332073], [112.78775889,  -7.32741257], [112.77795222,  -7.32882955], [112.75773702,  -7.36231606], [112.75596489,  -7.44211625], [112.76943484,  -7.83592231]]","[237.616980633, 132.366808416, 103.652300193, 0.9]"
SMP26,-7.2146617912185524,112.76954104216516,442,"[[112.75360301,  -7.08893916], [112.75242446,  -7.18999604], [112.76404907,  -7.22013018], [112.77601688,  -7.22286786], [317.09006332, 119.25881156], [308.46777356, 132.33060125]]","[213.012901395, 219.43106931, 229.237454535, 0.9]"
SMP27,-7.3140753519276975,112.65910979666187,278,"[[112.67307055,  -7.32610312], [112.67155499,  -7.32867672], [112.62807237,  -7.34314824], [112.66143432,  -7.29187052], [112.66833218,  -7.29491587]]","[246.975902169, 182.53952943599998, 154.55467070999998, 0.9]"
SMP28,-7.250404516864099,112.64056048716394,427,"[[112.61708537,  -7.26786252], [112.62086667,  -7.25842279], [112.64783258,  -7.23104282], [112.65625457,  -7.23626062], [112.64257542,  -7.26316051]]","[218.121483955, 220.26342547, 223.529730215, 0.9]"
SMP29,-7.26960969651972,112.70517403985345,464,"[[112.71376567,  -7.27175056], [112.71148117,  -7.26327786], [112.69492337,  -7.26062484], [112.69057419,  -7.27161896], [112.69181968,  -7.27806631], [112.71063612,  -7.27836037]]","[206.37881094, 217.508369886, 235.19226006, 0.9]"
SMP30,-7.227869040834212,112.73188883217664,371,"[[112.74063761,  -7.23344258], [112.73820019,  -7.22208507], [112.7168949 ,  -7.21762709], [112.72282449,  -7.23186855], [112.7393015 ,  -7.23743365]]","[234.440877171, 211.9745445, 199.632775764, 0.9]"
SMP31,-7.25075499024181,112.72069110343875,543,"[[112.7252685 ,  -7.25835642], [112.71578333,  -7.2579888 ], [112.71156942,  -7.24570859], [112.71908457,  -7.24221904], [112.73135983,  -7.25053453]]","[175.488063214, 202.26048672099998, 251.949716611, 0.9]"
SMP32,-7.285697527770586,112.76616696171554,341,"[[112.78141244,  -7.28003781], [112.78237578,  -7.28712176], [112.76857934,  -7.29642053], [112.7603309,  -7.2945209], [112.7569771 ,  -7.29032312], [112.75737536,  -7.28258774], [112.76536584,  -7.27645911]]","[240.575040065, 204.580444672, 185.938757468, 0.9]"
SMP33,-7.249711669421046,112.77379396333929,392,"[[112.76498978,  -7.248748  ], [112.77472678,  -7.24009256], [112.78418402,  -7.243726  ], [112.78008867,  -7.26072499], [112.7706748 ,  -7.25882588]]","[229.38351768300004, 216.11256017999997, 208.536213972, 0.9]"
SMP34,-7.3191564347109175,112.77832372908227,316,"[[112.76708498,  -7.31552877], [112.77074817,  -7.31122974], [112.78549551,  -7.31059398], [112.79101088,  -7.32138387], [112.78775889,  -7.32741257], [112.77795222,  -7.32882955], [112.76668415,  -7.3188464 ]]","[244.334888094, 196.66469305200002, 173.476764387, 0.9]"
