kode,lat,lng,jml,polygons,colors
SMP32,-7.306571087687655,112.73264083765747,204,"[[112.7253715 ,  -7.31465251], [112.72939104,  -7.31694122], [112.74443885,  -7.30865677], [112.73064465,  -7.29128101], [112.72922848,  -7.29131284], [112.71986795,  -7.3010429 ]]","[199.422524862, 214.930374228, 240.459860034, 0.9]"
SMP54,-7.233266472525944,112.77847562419922,267,"[[112.76910173,  -7.23910554], [112.77183251,  -7.23324487], [112.79232811,  -7.23067653], [112.77483716,  -7.24399421]]","[109.779256504, 144.045099072, 241.966801891, 0.9]"
SMP27,-7.214151199678645,112.75823698499583,210,"[[112.70451818,  -7.11494726], [112.73625217,  -7.19809529], [112.75642689,  -7.22539945], [112.75646631,  -7.22542514], [112.75654937,  -7.22537001], [240.50274382, 196.26394464], [105.53232767, 233.0423992 ]]","[192.17070758999998, 211.709377005, 245.022145035, 0.9]"
SMP42,-7.2480495141283745,112.71597331305816,254,"[[112.70933976,  -7.22768088], [112.69397823,  -7.21808089], [112.68666499,  -7.23209597], [112.70410728,  -7.25228075], [112.72276132,  -7.25664086], [112.72391803,  -7.24519503], [112.72309996,  -7.2422099 ]]","[128.88277391999998, 164.21864176000003, 250.705144975, 0.9]"
SMP14,-7.236605389586713,112.6125963047599,252,"[[-105.54071516, -108.00684721], [112.59435297,  -7.28900657], [112.63556357,  -7.22884547], [ 16.00117925, 212.74566929]]","[131.64637714799997, 166.8968907, 251.53388695200002, 0.9]"
SMP46,-7.288493510272469,112.71384960422655,153,"[[112.70146769,  -7.30153435], [112.69989411,  -7.29997518], [112.70650786,  -7.28599069], [112.72237299,  -7.28144554], [112.72922848,  -7.29131284], [112.71986795,  -7.3010429 ]]","[245.490610974, 192.157123372, 167.17830886299998, 0.9]"
SMP21,-7.313895652861528,112.71452807465627,302,"[[112.7253715 ,  -7.31465251], [112.71986795,  -7.3010429 ], [112.70146769,  -7.30153435], [112.70151744,  -7.31076824], [112.71426956,  -7.32223497]]","[63.26326054, 83.13332094600001, 198.305506095, 0.9]"
SMP18,-7.243340810796039,112.78614626354432,249,"[[113.04410355,  -7.06188377], [112.79232811,  -7.23067653], [112.77483716,  -7.24399421], [112.77679109,  -7.25100284], [112.88797412,  -7.26923067], [113.46267091,  -7.22978   ], [352.75460637,  14.3656129 ], [314.10677284, 124.47060041]]","[135.80490053999998, 170.79915246, 252.55028388000002, 0.9]"
SMP16,-7.3233747501943816,112.70600445850543,277,"[[112.70718951,  -7.33393267], [112.69627788,  -7.32056572], [112.70151744,  -7.31076824], [112.71426956,  -7.32223497], [112.71411111,  -7.32378045]]","[95.25586998, 126.86216988000001, 231.91417923, 0.9]"
SMP30,-7.308792275517247,112.79063924892789,233,"[[112.79213132,  -7.32324791], [113.46267091,  -7.22978   ], [112.88797412,  -7.26923067], [112.81027382,  -7.28137284], [112.79112024,  -7.2938836 ], [112.78099961,  -7.30998249]]","[159.299325591, 190.82121424500002, 254.673463723, 0.9]"
SMP47,-7.264465275447071,112.67229011653934,274,"[[112.66370026,  -7.2648346 ], [112.66849045,  -7.28593275], [112.6773281,  -7.287085 ], [112.68565172,  -7.27389892], [112.68412016,  -7.23637157]]","[100.480627924, 133.215430736, 235.85365469799999, 0.9]"
SMP45,-7.261250937364701,112.78320999841496,231,"[[112.77188325,  -7.27295975], [112.81027382,  -7.28137284], [112.88797412,  -7.26923067], [112.77679109,  -7.25100284], [112.76976936,  -7.26179445]]","[162.045824727, 192.96206800500002, 254.565622571, 0.9]"
SMP31,-7.2189742943984365,112.76591978324507,226,"[[112.75654937,  -7.22537001], [112.76959423,  -7.22306814], [258.81110465, 183.56180707], [240.50274382, 196.26394464]]","[170.14949570500002, 198.68999653499998, 253.204599315, 0.9]"
SMP9,-7.249285982461402,112.76482118989382,206,"[[112.76976936,  -7.26179445], [112.77679109,  -7.25100284], [112.77483716,  -7.24399421], [112.76910173,  -7.23910554], [112.76329051,  -7.23835644], [112.75868706,  -7.24378377], [112.75793434,  -7.25426045], [112.75892818,  -7.25682054]]","[197.040016894, 213.93944539600002, 242.076283778, 0.9]"
SMP37,-7.248352554595227,112.751829350092,192,"[[112.75793434,  -7.25426045], [112.75868706,  -7.24378377], [112.75141269,  -7.24346331], [112.74358639,  -7.24939443]]","[214.034617907, 219.59754054200002, 228.09590967100002, 0.9]"
SMP61,-7.257583952998385,112.65632443120309,221,"[[112.66002609,  -7.26309575], [112.64486582,  -7.26233774], [112.65060709,  -7.23730961], [112.65482736,  -7.23736087]]","[176.79692763, 203.06010358499998, 251.508484035, 0.9]"
SMP59,-7.31991759165281,112.68606220802297,200,"[[112.69607039,  -7.32067234], [112.67707006,  -7.31266431], [112.66803825,  -7.32695767], [112.6899389 ,  -7.32696382]]","[205.2660135, 217.17487094199998, 236.17209398, 0.9]"
SMP28,-7.307656812976936,112.6666588272388,260,"[[112.66803825,  -7.32695767], [112.65818207,  -7.33421371], [112.65504635,  -7.28963604], [112.66849045,  -7.28593275], [112.6773281,  -7.287085 ], [112.68255789,  -7.2938385 ], [112.67707006,  -7.31266431]]","[120.632894112, 155.824746592, 247.51156500699997, 0.9]"
SMP53,-7.253064999113113,112.63662478796103,204,"[[112.62831713,  -7.2832815 ], [112.64486582,  -7.26233774], [112.65060709,  -7.23730961], [112.63556357,  -7.22884547], [112.59435297,  -7.28900657]]","[199.422524862, 214.930374228, 240.459860034, 0.9]"
SMP33,-7.281903545519842,112.69991538928412,255,"[[112.70650786,  -7.28599069], [112.69989411,  -7.29997518], [112.68255789,  -7.2938385 ], [112.6773281,  -7.287085 ], [112.68565172,  -7.27389892], [112.70419669,  -7.27217913]]","[127.507793952, 162.81965923200002, 250.172881647, 0.9]"
SMP51,-7.334007869556357,112.68605825308754,188,"[[ -14.35446276, -211.28219587], [  90.06862906, -246.55510752], [112.69964185,  -7.35889384], [112.6899389 ,  -7.32696382], [112.66803825,  -7.32695767], [112.65818207,  -7.33421371]]","[218.121483955, 220.26342547, 223.529730215, 0.9]"
SMP41,-7.238629636577233,112.75225767864134,202,"[[112.76329051,  -7.23835644], [112.75711205,  -7.22932553], [112.74752859,  -7.23667114], [112.75141269,  -7.24346331], [112.75868706,  -7.24378377]]","[201.80503283, 215.92130306, 238.84343628999997, 0.9]"
SMP38,-7.23283092202085,112.73100833823138,214,"[[112.72269072,  -7.22922533], [112.73809891,  -7.22836494], [112.73871249,  -7.22932807], [112.73928149,  -7.23663215], [112.73884331,  -7.23740971], [112.73571497,  -7.2377582 ]]","[187.14393575, 209.104559085, 247.534713355, 0.9]"
SMP50,-7.26340783725378,112.69820016323774,201,"[[112.70664545,  -7.2702271 ], [112.70419669,  -7.27217913], [112.68565172,  -7.27389892], [112.68412016,  -7.23637157], [112.68456315,  -7.23397763], [112.68666499,  -7.23209597], [112.70410728,  -7.25228075]]","[202.99628681400003, 216.416767476, 238.03522441799998, 0.9]"
SMP56,-7.279979988704205,112.71141059131416,177,"[[112.70664545,  -7.2702271 ], [112.70419669,  -7.27217913], [112.70650786,  -7.28599069], [112.72237299,  -7.28144554], [112.72036603,  -7.2712998 ]]","[230.22641093100003, 215.4228909, 207.052307604, 0.9]"
SMP43,-7.249581340537515,112.73113100266244,149,"[[112.73114482,  -7.25530655], [112.7235139 ,  -7.25781037], [112.72276132,  -7.25664086], [112.72391803,  -7.24519503], [112.7400755,  -7.2481046]]","[246.575421726, 187.595850668, 160.873517567, 0.9]"
SMP4,-7.2599270156821705,112.73452557866858,190,"[[112.7439027 ,  -7.26361986], [112.74455582,  -7.2657039 ], [112.74146526,  -7.26924603], [112.72407469,  -7.26644676], [112.7235139 ,  -7.25781037], [112.73114482,  -7.25530655]]","[216.07805093100004, 219.930483006, 225.812819943, 0.9]"
SMP58,-7.2281723559860005,112.76754285581882,187,"[[112.76329051,  -7.23835644], [112.75711205,  -7.22932553], [112.75646631,  -7.22542514], [112.75654937,  -7.22537001], [112.76959423,  -7.22306814], [112.77256473,  -7.23094415], [112.77183251,  -7.23324487], [112.76910173,  -7.23910554]]","[219.14320046699999, 220.429896702, 222.388185351, 0.9]"
