lat,lng,class,colors
-7.324139485,112.76753909999998,40,"[124.79783126823529, 143.3365437070588, 177.53540049529414, 0.9]"
-7.327781836000001,112.76931689999999,33,"[149.60668104, 154.71237501599998, 162.55982856, 0.9]"
-7.284871000000001,112.703658,53,"[73.72999740141177, 97.3365315727059, 168.3980500475294, 0.9]"
-7.28047184,112.72796240000001,45,"[105.64578069176471, 129.26183623058822, 179.79734049882353, 0.9]"
-7.304378117000001,112.7299946,20,"[174.4545691884706, 127.05042162917645, 106.86676697647057, 0.9]"
-7.285612453,112.69400049999999,53,"[73.72999740141177, 97.3365315727059, 168.3980500475294, 0.9]"
-7.229744276,112.76637,55,"[65.42294316141177, 87.26106273317647, 162.1833996409412, 0.9]"
-7.326760087,112.72872120000001,44,"[109.53852486141177, 132.43054136823528, 179.88368855364706, 0.9]"
-7.317442952,112.708767,29,"[161.917777188, 152.55004247999997, 147.202033392, 0.9]"
-7.3075015610000005,112.67024209999998,26,"[168.43927854, 146.2026062230588, 134.48816524517648, 0.9]"
-7.277736983,112.73657709999999,45,"[105.64578069176471, 129.26183623058822, 179.79734049882353, 0.9]"
-7.327663512000001,112.770198,33,"[149.60668104, 154.71237501599998, 162.55982856, 0.9]"
-7.3383111670000005,112.7971578,14,"[170.25378818188236, 100.72169216258824, 79.4723974517647, 0.9]"
-7.288434447,112.77332879999999,0,"[127.02116844, 2.8001088, 27.04190616, 0.9]"
-7.291294317,112.71073270000001,49,"[89.03492751811764, 113.94400708517648, 176.21690704870588, 0.9]"
-7.335880137999999,112.7007439,16,"[172.8882110392941, 110.92975630941176, 89.18398808894118, 0.9]"
-7.243824139,112.7552731,6,"[150.30489679835293, 56.45597623623529, 46.76096731341176, 0.9]"
-7.34448253,112.7246711,44,"[109.53852486141177, 132.43054136823528, 179.88368855364706, 0.9]"
-7.225485716000001,112.77237009999999,28,"[164.29771106470588, 150.6027409835294, 143.01218011764703, 0.9]"
-7.216611662999999,112.7567472,5,"[146.7915095894118, 50.000577691764704, 43.25284182, 0.9]"
-7.330072313,112.76884720000001,33,"[149.60668104, 154.71237501599998, 162.55982856, 0.9]"
-7.261114445,112.66050690000002,56,"[61.789954218352946, 82.68365425129412, 159.1419458922353, 0.9]"
-7.346299206,112.6659922,57,"[58.269314745882355, 77.96851929882352, 155.65002396705881, 0.9]"
-7.256737717000001,112.6649741,31,"[155.4105296322353, 155.7150832475294, 156.17409916729412, 0.9]"
-7.333141697,112.71170719999999,10,"[162.47860728635294, 80.62897448894117, 62.94984723741176, 0.9]"
-7.276816294,112.73069509999999,45,"[105.64578069176471, 129.26183623058822, 179.79734049882353, 0.9]"
-7.261880841,112.7119995,38,"[132.98867908941176, 148.0628919282353, 174.2869914882353, 0.9]"
-7.295490566000001,112.7445784,30,"[159.0636851597647, 154.09938923152941, 151.2463806317647, 0.9]"
-7.2300547989999995,112.77933259999999,28,"[164.29771106470588, 150.6027409835294, 143.01218011764703, 0.9]"
-7.336104101,112.7274435,44,"[109.53852486141177, 132.43054136823528, 179.88368855364706, 0.9]"
-7.308487805,112.71592779999999,58,"[54.751371660705885, 73.25007891105882, 152.14729080564706, 0.9]"
-7.329006044,112.76806880000001,33,"[149.60668104, 154.71237501599998, 162.55982856, 0.9]"
-7.266403963999999,112.6986926,48,"[92.92685445741175, 117.80956990588236, 177.55333196611764, 0.9]"
-7.295183754,112.7569527,25,"[170.1972538037647, 143.749033296, 130.15897511364707, 0.9]"
-7.198313221,112.6470471,62,"[41.365026, 53.76923388, 135.66296754, 0.9]"
-7.222569493,112.60602079999998,7,"[153.42806430141175, 62.36855036894117, 50.462364365647055, 0.9]"
-7.255863188999999,112.6548632,56,"[61.789954218352946, 82.68365425129412, 159.1419458922353, 0.9]"
-7.305321751,112.7952784,13,"[168.62033037811764, 95.89491001976471, 75.25680110752941, 0.9]"
-7.247391947000001,112.7324142,24,"[171.49692918070588, 140.93366356800001, 125.75623883505882, 0.9]"
-7.267295,112.7544172,41,"[121.05683149058824, 140.91506048117648, 178.5567421122353, 0.9]"
-7.291690608,112.7733726,0,"[127.02116844, 2.8001088, 27.04190616, 0.9]"
-7.25883471,112.7355135,8,"[157.2124108595294, 69.65273503058822, 55.1398435157647, 0.9]"
-7.264228414,112.7327923,8,"[157.2124108595294, 69.65273503058822, 55.1398435157647, 0.9]"
-7.294678826,112.7550827,25,"[170.1972538037647, 143.749033296, 130.15897511364707, 0.9]"
-7.287263087,112.7118044,18,"[174.18796674, 119.3351422432941, 97.97817345035293, 0.9]"
-7.23157468,112.77923559999999,27,"[166.60141614, 148.59311365270588, 138.80453540611765, 0.9]"
-7.240468383,112.613644,7,"[153.42806430141175, 62.36855036894117, 50.462364365647055, 0.9]"
-7.340261433999999,112.7243831,10,"[162.47860728635294, 80.62897448894117, 62.94984723741176, 0.9]"
-7.315699628,112.71272979999999,29,"[161.917777188, 152.55004247999997, 147.202033392, 0.9]"
-7.256115205,112.65007949999999,56,"[61.789954218352946, 82.68365425129412, 159.1419458922353, 0.9]"
-7.2938431139999995,112.7526861,25,"[170.1972538037647, 143.749033296, 130.15897511364707, 0.9]"
-7.2847148,112.7032405,53,"[73.72999740141177, 97.3365315727059, 168.3980500475294, 0.9]"
-7.238921611,112.7748403,9,"[159.91028833341176, 75.18652514823528, 59.02162398070588, 0.9]"
-7.227539374,112.7806618,28,"[164.29771106470588, 150.6027409835294, 143.01218011764703, 0.9]"
-7.338637257999999,112.6890068,57,"[58.269314745882355, 77.96851929882352, 155.65002396705881, 0.9]"
-7.327145791,112.7633773,40,"[124.79783126823529, 143.3365437070588, 177.53540049529414, 0.9]"
-7.250905928,112.7465605,15,"[171.5496480444706, 105.33795611364705, 83.76707423294118, 0.9]"
-7.311881112999999,112.6912348,3,"[139.3806330275294, 35.956668248470585, 36.45621979835294, 0.9]"
-7.275142837000001,112.7369185,45,"[105.64578069176471, 129.26183623058822, 179.79734049882353, 0.9]"
-7.22633339,112.78284709999998,28,"[164.29771106470588, 150.6027409835294, 143.01218011764703, 0.9]"
-7.340840414,112.7093138,10,"[162.47860728635294, 80.62897448894117, 62.94984723741176, 0.9]"
-7.26612085,112.7560064,41,"[121.05683149058824, 140.91506048117648, 178.5567421122353, 0.9]"
-7.30967659,112.68531340000001,3,"[139.3806330275294, 35.956668248470585, 36.45621979835294, 0.9]"
-7.311458451,112.7611936,23,"[172.9046157162353, 137.25018333458823, 120.23343847835292, 0.9]"
-7.28682205,112.774941,0,"[127.02116844, 2.8001088, 27.04190616, 0.9]"
-7.322706527,112.7359953,36,"[139.92795591388239, 151.36581869082355, 170.3068742865882, 0.9]"
-7.253266377,112.73057620000002,24,"[171.49692918070588, 140.93366356800001, 125.75623883505882, 0.9]"
-7.230005251000001,112.7796899,27,"[166.60141614, 148.59311365270588, 138.80453540611765, 0.9]"
-7.332016827,112.7453527,1,"[131.25526773035293, 15.602208632470589, 30.103272612705883, 0.9]"
-7.257308277999999,112.65079329999999,56,"[61.789954218352946, 82.68365425129412, 159.1419458922353, 0.9]"
-7.34207799,112.7178925,10,"[162.47860728635294, 80.62897448894117, 62.94984723741176, 0.9]"
-7.32632457,112.76968319999999,33,"[149.60668104, 154.71237501599998, 162.55982856, 0.9]"
-7.279962309,112.7512761,2,"[135.48670939835296, 28.36361280564706, 33.16642367223529, 0.9]"
-7.309282466,112.69323909999999,3,"[139.3806330275294, 35.956668248470585, 36.45621979835294, 0.9]"
-7.235115711000001,112.7817886,27,"[166.60141614, 148.59311365270588, 138.80453540611765, 0.9]"
-7.265164942,112.646353,35,"[143.29149657458825, 152.76477704188235, 168.02486429505882, 0.9]"
-7.329994059,112.69196299999999,3,"[139.3806330275294, 35.956668248470585, 36.45621979835294, 0.9]"
-7.250329606,112.7257544,24,"[171.49692918070588, 140.93366356800001, 125.75623883505882, 0.9]"
-7.342166426,112.69368840000001,57,"[58.269314745882355, 77.96851929882352, 155.65002396705881, 0.9]"
-7.326300146,112.77940659999999,33,"[149.60668104, 154.71237501599998, 162.55982856, 0.9]"
-7.253579493999999,112.74228889999999,22,"[173.67036448235294, 134.03046142588235, 115.7829975635294, 0.9]"
-7.248867105,112.72595190000001,24,"[171.49692918070588, 140.93366356800001, 125.75623883505882, 0.9]"
-7.333041369,112.74865849999999,1,"[131.25526773035293, 15.602208632470589, 30.103272612705883, 0.9]"
-7.309722732000001,112.7153243,29,"[161.917777188, 152.55004247999997, 147.202033392, 0.9]"
-7.343789086,112.73034009999998,58,"[54.751371660705885, 73.25007891105882, 152.14729080564706, 0.9]"
-7.348659,112.66843999999999,57,"[58.269314745882355, 77.96851929882352, 155.65002396705881, 0.9]"
-7.26172994,112.7123773,38,"[132.98867908941176, 148.0628919282353, 174.2869914882353, 0.9]"
-7.26528709,112.71606750000001,38,"[132.98867908941176, 148.0628919282353, 174.2869914882353, 0.9]"
-7.218787363,112.7706575,34,"[146.46466473882353, 153.77073093882353, 165.3264184517647, 0.9]"
-7.317903286,112.76053770000001,40,"[124.79783126823529, 143.3365437070588, 177.53540049529414, 0.9]"
-7.324843795,112.7698814,33,"[149.60668104, 154.71237501599998, 162.55982856, 0.9]"
-7.260799564,112.7331406,8,"[157.2124108595294, 69.65273503058822, 55.1398435157647, 0.9]"
-7.322370464,112.7114951,29,"[161.917777188, 152.55004247999997, 147.202033392, 0.9]"
-7.332922216,112.71396999999999,10,"[162.47860728635294, 80.62897448894117, 62.94984723741176, 0.9]"
-7.253074947000001,112.7385898,8,"[157.2124108595294, 69.65273503058822, 55.1398435157647, 0.9]"
-7.3269511110000005,112.71167450000002,44,"[109.53852486141177, 132.43054136823528, 179.88368855364706, 0.9]"
-7.24885455,112.72671580000001,24,"[171.49692918070588, 140.93366356800001, 125.75623883505882, 0.9]"
-7.226600447999999,112.78115990000002,28,"[164.29771106470588, 150.6027409835294, 143.01218011764703, 0.9]"
-7.247532071,112.7172136,42,"[117.2516110482353, 138.26186759647058, 179.2604070232941, 0.9]"
-7.331225102,112.76967649999999,33,"[149.60668104, 154.71237501599998, 162.55982856, 0.9]"
-7.2911096639999995,112.7726665,0,"[127.02116844, 2.8001088, 27.04190616, 0.9]"
-7.323723424,112.707975,17,"[173.68404986470588, 115.22863405058821, 93.56500776705883, 0.9]"
-7.287270601,112.69632450000002,53,"[73.72999740141177, 97.3365315727059, 168.3980500475294, 0.9]"
-7.327004825,112.7020855,17,"[173.68404986470588, 115.22863405058821, 93.56500776705883, 0.9]"
-7.265166098,112.6567462,35,"[143.29149657458825, 152.76477704188235, 168.02486429505882, 0.9]"
-7.287033616,112.6911577,53,"[73.72999740141177, 97.3365315727059, 168.3980500475294, 0.9]"
-7.260130552000001,112.7927517,12,"[166.83893639788235, 90.9758783322353, 71.07585798847057, 0.9]"
-7.324390501,112.77694299999999,37,"[136.53698862352942, 149.90158693058822, 172.51341385058822, 0.9]"
-7.242794471,112.75172109999998,61,"[44.656419204705884, 58.68234419717648, 139.9803572435294, 0.9]"
-7.237443259,112.775222,27,"[166.60141614, 148.59311365270588, 138.80453540611765, 0.9]"
-7.333008688,112.7958818,14,"[170.25378818188236, 100.72169216258824, 79.4723974517647, 0.9]"
