kode,jml,peminat,lat,lng,polygons,colors
SMP27,128,574,-7.2101311200891,112.75674238623,"[[112.71539584,  -7.16282658], [112.7363148 ,  -7.20338384], [112.7553527 ,  -7.22154025], [112.79650794,  -7.17773411], [239.90047177, 196.7294429 ], [144.10648677, 231.05588357]]","[230.22641093100003, 215.4228909, 207.052307604, 0.9]"
SMP28,160,403,-7.308723,112.664907,"[[112.6753793 ,  -7.31530606], [112.68198237,  -7.30179604], [112.67405504,  -7.28795522], [112.66733729,  -7.28677252], [112.64542316,  -7.29344317], [112.66579852,  -7.32902853], [112.6666031 ,  -7.32829205]]","[146.893079596, 180.73886906, 254.42742096, 0.9]"
SMP29,128,895,-7.2662812418961,112.75451446627,"[[112.76476328,  -7.280502  ], [112.74595166,  -7.26570624], [112.75775089,  -7.25672337], [112.76990192,  -7.26476895], [112.77071643,  -7.2736985 ]]","[230.22641093100003, 215.4228909, 207.052307604, 0.9]"
SMP30,160,474,-7.3069594442807,112.79012907416,"[[112.78429746,  -7.31376593], [112.79494561,  -7.32393575], [113.16485825,  -7.27370275], [112.88296206,  -7.27465933], [112.81366549,  -7.28234003], [112.78852079,  -7.29604216]]","[146.893079596, 180.73886906, 254.42742096, 0.9]"
SMP31,128,797,-7.219442,112.766653,"[[112.75580492,  -7.22408173], [112.7553527 ,  -7.22154025], [112.79650794,  -7.17773411], [112.7833987 ,  -7.20674135], [112.77093811,  -7.22310542]]","[230.22641093100003, 215.4228909, 207.052307604, 0.9]"
SMP32,160,616,-7.3071014279776,112.73380961227,"[[112.74514663,  -7.30944695], [112.72769917,  -7.31972148], [112.71861861,  -7.30474007], [112.73001232,  -7.29260678], [112.73058247,  -7.29257992]]","[146.893079596, 180.73886906, 254.42742096, 0.9]"
SMP33,112,349,-7.290572608176,112.69659693006,"[[112.70002722,  -7.30777297], [112.68198237,  -7.30179604], [112.67405504,  -7.28795522], [112.68614344,  -7.27644758], [112.69575961,  -7.27647828], [112.70613878,  -7.29427673], [112.70658159,  -7.30407913], [112.70071677,  -7.30756752]]","[247.059937593, 181.26381337200002, 152.97462863, 0.9]"
SMP34,144,313,-7.3195245843107,112.68700728371,"[[112.69844242,  -7.31463   ], [112.70002722,  -7.30777297], [112.68198237,  -7.30179604], [112.6753793 ,  -7.31530606], [112.69044645,  -7.32329878]]","[193.42740055, 212.36058148499998, 244.394002955, 0.9]"
SMP35,160,525,-7.3274485610578,112.77293743684,"[[112.7705879 ,  -7.32062741], [112.78634086,  -7.3307094 ], [112.77366646,  -7.35034289], [112.76077459,  -7.33225225]]","[146.893079596, 180.73886906, 254.42742096, 0.9]"
SMP36,144,422,-7.3298058570294,112.71331924785,"[[112.72747167,  -7.32503794], [112.71201392,  -7.32450129], [112.70656023,  -7.3308916 ], [112.71534785,  -7.33314567], [112.72794384,  -7.32647771]]","[193.42740055, 212.36058148499998, 244.394002955, 0.9]"
SMP37,112,592,-7.248294,112.749684,"[[112.74244503,  -7.25140656], [112.75688272,  -7.25462529], [112.75778842,  -7.24640097], [112.74901628,  -7.24486307], [112.74185003,  -7.24911724], [112.74213983,  -7.25088187]]","[247.059937593, 181.26381337200002, 152.97462863, 0.9]"
SMP38,96,478,-7.2342484182952,112.73487769081,"[[112.73710214,  -7.22686694], [112.73915276,  -7.22860652], [112.74174359,  -7.23688137], [112.74121354,  -7.23760488], [112.73371424,  -7.23870526], [112.7322354 ,  -7.22918393]]","[236.35515989700002, 128.882494304, 100.69079881699999, 0.9]"
SMP39,144,459,-7.309645,112.760732,"[[112.77204238,  -7.31013638], [112.76959009,  -7.29867204], [112.75104436,  -7.30592516], [112.74822353,  -7.30982519], [112.75245312,  -7.31724205], [112.77085499,  -7.31210792]]","[193.42740055, 212.36058148499998, 244.394002955, 0.9]"
SMP40,160,321,-7.317981,112.648738,"[[-102.56428062, -114.28414373], [  29.50240571, -232.75618872], [112.66579852,  -7.32902853], [112.64542316,  -7.29344317], [112.62265503,  -7.29138286], [112.58243521,  -7.30075658]]","[146.893079596, 180.73886906, 254.42742096, 0.9]"
SMP41,112,606,-7.2418639,112.7508113,"[[112.75708127,  -7.23244086], [112.76233166,  -7.23832999], [112.75778842,  -7.24640097], [112.74901628,  -7.24486307], [112.74760887,  -7.23666224]]","[247.059937593, 181.26381337200002, 152.97462863, 0.9]"
