kode,lat,lng,jml,polygons,colors
SMP54,-7.286957013008928,112.69651275357143,112,"[[112.70515608,  -7.28842576], [112.70364107,  -7.3021199 ], [112.70186419,  -7.30310684], [112.68104092,  -7.29688272], [112.6750258 ,  -7.28661946], [112.68572963,  -7.27452555], [112.70015727,  -7.27545121]]","[247.059937593, 181.26381337200002, 152.97462863, 0.9]"
SMP55,-7.260582779107143,112.73460877053571,112,"[[112.72325563,  -7.26020834], [112.72345924,  -7.26660912], [112.74127724,  -7.26966659], [112.74506301,  -7.26519626], [112.74388629,  -7.26189301], [112.72848341,  -7.25705446]]","[247.059937593, 181.26381337200002, 152.97462863, 0.9]"
SMP56,-7.2278118223125,112.76688035104166,96,"[[112.76446436,  -7.23888804], [112.76841007,  -7.2392119 ], [112.77190534,  -7.23225108], [112.77008358,  -7.2233741 ], [112.75735687,  -7.22410101], [112.75630474,  -7.22478382], [112.75600624,  -7.22661137], [112.7566411 ,  -7.23039724]]","[236.35515989700002, 128.882494304, 100.69079881699999, 0.9]"
SMP57,-7.25703644615625,112.65507657916666,96,"[[112.65959354,  -7.24539632], [112.65759702,  -7.26253064], [112.64409277,  -7.26360709], [112.64829717,  -7.24023496]]","[236.35515989700002, 128.882494304, 100.69079881699999, 0.9]"
SMP58,-7.335711395090909,112.68171057878789,99,"[[ -37.09428257, -195.21329427], [ 103.61938844, -247.44817264], [112.6999195 ,  -7.35269261], [112.68658437,  -7.32735373], [112.6648208 ,  -7.32534737], [112.66212559,  -7.32685572]]","[240.14062210499998, 139.33543664, 109.575302945, 0.9]"
SMP59,-7.3228894563125,112.71854696979166,96,"[[112.72825889,  -7.32876037], [112.72952643,  -7.32706621], [112.72799259,  -7.31661524], [112.7234369 ,  -7.31279805], [112.71241339,  -7.32233414], [112.71278726,  -7.32513437]]","[236.35515989700002, 128.882494304, 100.69079881699999, 0.9]"
SMP60,-7.231293384729167,112.74611856354167,96,"[[112.75047122,  -7.23521859], [112.7566411 ,  -7.23039724], [112.75600624,  -7.22661137], [112.74019421,  -7.22842484], [112.73961921,  -7.23616719]]","[236.35515989700002, 128.882494304, 100.69079881699999, 0.9]"
SMP61,-7.2303867695104165,112.73391111770833,96,"[[112.7364589 ,  -7.23755228], [112.73823145,  -7.23806906], [112.73961921,  -7.23616719], [112.74019421,  -7.22842484], [112.73761252,  -7.22359611], [112.72889809,  -7.22973144]]","[236.35515989700002, 128.882494304, 100.69079881699999, 0.9]"
SMP62,-7.239839447895833,112.74686559583334,96,"[[112.74975617,  -7.24346616], [112.74120689,  -7.24875808], [112.73964143,  -7.2477621 ], [112.73823145,  -7.23806906], [112.73961921,  -7.23616719], [112.75047122,  -7.23521859]]","[236.35515989700002, 128.882494304, 100.69079881699999, 0.9]"
SMP63,-7.234362078109589,112.66543658356164,73,"[[112.6964305 ,  -7.22098955], [112.69178331,  -7.23775103], [112.68383668,  -7.24661291], [112.67601724,  -7.24829027], [112.65959354,  -7.24539632], [112.64829717,  -7.24023496], [112.63834959,  -7.22507522], [112.61909142,  -6.80632313], [112.66702301,  -7.02270322]]","[179.94665529, 3.9668208, 38.30936706, 0.9]"
